movie_idx,movie_title,movie_year,movie_genre
140,X: The Unknown,1956,"['Horror', 'Sci-Fi']"
141,loudQUIETloud: A Film About the Pixies,2006,['Documentary']
142,Smiles of a Summer Night (Sommarnattens leende),1955,"['Comedy', 'Romance']"
143,Field of Dreams,1989,"['Children', 'Drama', 'Fantasy']"
144,Land of the Dead,2005,"['Action', 'Horror', 'Thriller']"
145,"Champ, The",1979,['Drama']
146,Slither,1973,"['Comedy', 'Crime', 'Thriller']"
147,Chesty: A Tribute to a Legend,1976,['Documentary']
148,Parasite,1982,"['Horror', 'Sci-Fi']"
149,All Cheerleaders Die,2013,"['Comedy', 'Horror', 'Thriller']"
150,Sexy Baby,2012,['Documentary']
151,Return,2011,['Drama']
152,American Kickboxer 2 (American Kickboxer 2: To the Death),1993,['Action']
153,Crazy Mama,1975,"['Action', 'Comedy']"
154,"Verlorene, Der (Lost One, The)",1951,"['Crime', 'Drama', 'Thriller']"
155,"Fly, The",1958,"['Horror', 'Mystery', 'Sci-Fi']"
156,Stealing Time (a.k.a. Rennie's Landing),2001,['Drama']
157,Aladdin,1986,"['Adventure', 'Fantasy']"
158,Puppet Master II,1991,"['Horror', 'Sci-Fi', 'Thriller']"
159,Towelhead (a.k.a. Nothing is Private),2007,['Drama']
160,Wanted,2009,"['Action', 'Romance']"
161,I Was A Communist for the FBI,1951,"['Drama', 'Film-Noir', 'Thriller']"
162,Genius Within: The Inner Life of Glenn Gould,2009,['Documentary']
163,Unlawful Killing,2011,['Documentary']
164,"Unfaithful, The",1947,"['Drama', 'Film-Noir']"
165,Super Duper Alice Cooper,2014,['Documentary']
166,"Sword and the Dragon, The (Ilya Muromets)",1956,"['Adventure', 'Fantasy']"
167,Charlie Chan in Rio,1941,"['Comedy', 'Crime', 'Mystery', 'Thriller']"
168,"Phone Box, The (Cabina, La)",1972,"['Comedy', 'Drama', 'Mystery', 'Thriller']"
169,Float,2007,"['Drama', 'Romance']"
170,Adventures of Tarzan,1921,"['Action', 'Adventure']"
171,Loving Annabelle,2006,"['Drama', 'Romance']"
172,"Beautician and the Beast, The",1997,"['Comedy', 'Romance']"
173,White Men Can't Jump,1992,"['Comedy', 'Drama']"
174,"Bone Man, The (Der Knochenmann)",2009,"['Crime', 'Thriller']"
175,Tape,2001,['Drama']
176,Let It Ride,1989,['Comedy']
177,Jack and the Cuckoo-Clock Heart (Jack et la mécanique du coeur),2013,"['Adventure', 'Animation', 'Drama', 'Fantasy', 'Musical', 'Romance']"
178,"Goodbye, Dragon Inn (Bu san)",2003,"['Comedy', 'Drama']"
179,Hardcore,2004,"['Crime', 'Drama']"
180,"Way You Wanted Me, The (Sellaisena kuin sinä minut halusit)",1944,"['Drama', 'Romance']"
181,"4 Months, 3 Weeks and 2 Days (4 luni, 3 saptamâni si 2 zile)",2007,['Drama']
182,"Sea, The (Hafið)",2002,['Drama']
183,Scum,1979,"['Crime', 'Drama']"
184,"Great Gatsby, The",1974,['Drama']
185,Operación Cannabis,2009,"['Action', 'Adventure', 'Comedy', 'Crime']"
186,Distant Drums,1951,"['Action', 'Romance', 'Western']"
187,Jonny Vang,2003,"['Comedy', 'Drama', 'Mystery']"
188,Gardens of the Night,2008,['Drama']
189,"Two Women (Ciociara, La)",1960,"['Drama', 'War']"
190,Bernice Bobs Her Hair,1976,"['Comedy', 'Drama']"
191,"Hell of a Day, A (Reines d'un jour)",2001,"['Comedy', 'Drama']"
192,Summertime,1955,"['Drama', 'Romance']"
193,Earth (Zemlya),1930,['Drama']
194,Wuthering Heights,2011,['Drama']
195,Redline,2007,['Action']
196,Fast Food Nation,2006,['Drama']
197,Lucky You,2007,"['Comedy', 'Drama']"
198,"Alligator People, The",1959,['Horror']
199,Chillers,1987,['Horror']
